t,strain,damage,stress,temperature
0.0,-9.719864090280508e-23,-3.0741635312203763e-47,186.13139491279992,877.3926941900974
1.0,2.698355577759587e-23,6.240039884170811e-47,186.13139491279992,877.3926941900974
2.0,1.5692076066444192e-22,-9.832608712468202e-48,186.13139491279992,877.3926941900974
3.0,-5.743175703123227e-23,1.3351600091889588e-46,186.13139491279992,877.3926941900974
4.0,2.70866115819791e-22,7.612078095474523e-47,186.13139491279992,877.3926941900974
5.0,1.1980345996482127e-22,-2.213200332647289e-46,186.13139491279992,877.3926941900974
6.0,2.3088443583008065e-22,-2.482530299686738e-46,186.13139491279992,877.3926941900974
7.0,3.4690431297759197e-22,1.1594850476615898e-46,186.13139491279992,877.3926941900974
8.0,2.68572448227602e-22,-2.685611548361118e-47,186.13139491279992,877.3926941900974
9.0,8.40143619281309e-22,-7.795130434818837e-47,186.13139491279992,877.3926941900974
10.0,1.1743361730862948e-22,3.3942659934494836e-46,186.13139491279992,877.3926941900974
11.0,-2.880926508374851e-22,6.56470851475208e-47,186.13139491279992,877.3926941900974
12.0,7.99564941376726e-22,-4.507012267628328e-46,186.13139491279992,877.3926941900974
13.0,5.589196596727006e-22,2.4646181961132316e-46,186.13139491279992,877.3926941900974
14.0,6.552390469825894e-23,3.7461810079120266e-46,186.13139491279992,877.3926941900974
15.0,-1.684556426020095e-22,1.1441838677916736e-46,186.13139491279992,877.3926941900974
16.0,-6.0314469735057305e-22,-7.2181850840368e-47,186.13139491279992,877.3926941900974
17.0,2.002652758012034e-22,-1.135939631014805e-47,186.13139491279992,877.3926941900974
18.0,1.5877153018516179e-22,-3.4669102387247725e-46,186.13139491279992,877.3926941900974
19.0,-1.1218988224303067e-23,-8.447559125113851e-47,186.13139491279992,877.3926941900974
20.0,4.657551476901461e-22,3.015399342931922e-46,186.13139491279992,877.3926941900974
21.0,-7.668257158773949e-22,-8.006423418923704e-47,186.13139491279992,877.3926941900974
22.0,-7.248350866402222e-23,2.164125590161984e-47,186.13139491279992,877.3926941900974
23.0,1.9613483431168485e-22,-2.3740840768137638e-46,186.13139491279992,877.3926941900974
24.0,6.8750634310754895e-22,1.5951712681831743e-46,186.13139491279992,877.3926941900974
25.0,-1.8121906221586597e-22,5.472823002162441e-47,186.13139491279992,877.3926941900974
26.0,-1.1301035227267603e-22,-1.136276581676493e-46,186.13139491279992,877.3926941900974
27.0,-2.2205745816835693e-22,-5.709322098207672e-47,186.13139491279992,877.3926941900974
28.0,-2.416646940421367e-22,7.210036518168588e-47,186.13139491279992,877.3926941900974
29.0,-2.661484185512628e-23,3.529375412299809e-46,186.13139491279992,877.3926941900974
30.0,6.568612354884824e-22,6.044278444698821e-47,186.13139491279992,877.3926941900974
31.0,5.422390941256234e-22,3.239676732998974e-46,186.13139491279992,877.3926941900974
32.0,6.667513712409843e-22,1.7568667683362695e-46,186.13139491279992,877.3926941900974
33.0,1.9661419601457434e-22,2.254831372332564e-46,186.13139491279992,877.3926941900974
34.0,1.1228450071615915e-21,-1.0486398923883284e-46,186.13139491279992,877.3926941900974
35.0,4.521739476061681e-22,5.239852898800479e-47,186.13139491279992,877.3926941900974
36.0,3.668030976688308e-23,9.358467717199045e-47,186.13139491279992,877.3926941900974
37.0,3.127045378044833e-22,-4.838680626169663e-47,186.13139491279992,877.3926941900974
38.0,6.0313053958613785e-22,5.152986826281909e-47,186.13139491279992,877.3926941900974
39.0,9.337140561767731e-22,-1.1823626182227284e-46,186.13139491279992,877.3926941900974
40.0,1.6394267652854584e-22,-1.3862142064644164e-46,186.13139491279992,877.3926941900974
41.0,3.702346016866793e-22,6.706257179743496e-47,186.13139491279992,877.3926941900974
42.0,1.9661718853575773e-22,7.161036933257894e-48,186.13139491279992,877.3926941900974
43.0,5.885461400715086e-22,-1.1610214306881228e-46,186.13139491279992,877.3926941900974
44.0,-2.8501530759410773e-22,1.3188361893792591e-46,186.13139491279992,877.3926941900974
45.0,4.978126399287971e-22,-4.3367203216495285e-46,186.13139491279992,877.3926941900974
46.0,8.892966230558486e-22,-3.94891642690004e-46,186.13139491279992,877.3926941900974
47.0,8.568329724353193e-22,4.215968710755838e-47,186.13139491279992,877.3926941900974
48.0,3.296705653613957e-22,2.5504262438441793e-46,186.13139491279992,877.3926941900974
49.0,3.9980042098235905e-22,7.878749619626179e-47,186.13139491279992,877.3926941900974
50.0,3.339031252997991e-22,-2.8935979950805356e-46,186.13139491279992,877.3926941900974
51.0,5.192342478000426e-22,5.651100469381264e-47,186.13139491279992,877.3926941900974
52.0,2.2546562817395344e-22,-1.1208643325335011e-46,186.13139491279992,877.3926941900974
53.0,5.19108683996143e-22,-2.8419714797713614e-46,186.13139491279992,877.3926941900974
54.0,4.5555261668018e-22,-2.9847142685294806e-46,186.13139491279992,877.3926941900974
55.0,5.64557384917786e-22,2.1926714431196937e-47,186.13139491279992,877.3926941900974
56.0,4.916744564068948e-22,-2.1886328073958395e-46,186.13139491279992,877.3926941900974
57.0,5.435798136545921e-22,5.693592509271319e-47,186.13139491279992,877.3926941900974
58.0,1.563992804212079e-22,-1.3421914704465337e-46,186.13139491279992,877.3926941900974
59.0,4.390882712022935e-22,-7.602865507356352e-48,186.13139491279992,877.3926941900974
60.0,6.406599033255614e-22,1.165483204362251e-47,186.13139491279992,877.3926941900974
61.0,2.517507809570962e-22,-5.02764785384467e-47,186.13139491279992,877.3926941900974
62.0,1.1733995898316617e-21,-3.7771906307395963e-47,186.13139491279992,877.3926941900974
63.0,4.063986051197387e-22,-2.5904223101693975e-47,186.13139491279992,877.3926941900974
64.0,1.1375144500887431e-21,4.3511374463574855e-46,186.13139491279992,877.3926941900974
65.0,4.117592671835194e-22,6.244968364842684e-47,186.13139491279992,877.3926941900974
