time,strain,stress,damage,applied_stress,temperature,strain_rate,damage_rate
0.0,0.0,100.0,0.0,100,950,0.5488736072389928,9.98503031374926e-05
2.004008016032064,1.0999471086953763,99.89000528913047,0.0002001008078907667,100,950,0.401953880453746,9.975762026143278e-05
4.008016032064128,1.6110375970090018,99.83889624029912,0.00039983014132838785,100,950,0.21149526278027836,9.960398651503405e-05
6.012024048096192,1.9476235126243477,99.80523764873759,0.0005993151827005225,100,950,0.14669773855924906,9.949429426225595e-05
8.016032064128256,2.199004485022024,99.78009955149783,0.0007986048678304157,100,950,0.11279876992849003,9.940340759317096e-05
10.020040080160319,2.399722790894849,99.76002772091054,0.0009977256339757567,100,950,0.0917636319172751,9.932326325811473e-05
12.024048096192384,2.566794592906894,99.74332054070933,0.0011966940993258656,100,950,0.07739583230570957,9.925013164978163e-05
14.028056112224448,2.7099265275910795,99.72900734724092,0.001395521752812557,100,950,0.06694172113927133,9.918195214366529e-05
16.03206412825651,2.8350980844470595,99.71649019155532,0.001594216953609093,100,950,0.05898438245547222,9.911746718440945e-05
18.036072144288575,2.946336878114014,99.70536631218863,0.0017927861503452599,100,950,0.052729493201241096,9.905585183364504e-05
20.040080160320638,3.0464387385602505,99.69535612614399,0.0019912343958281113,100,950,0.047673431115969556,9.899651910166092e-05
22.0440881763527,3.1374127543303247,99.686258724567,0.0021895657860232596,100,950,0.04350199234185281,9.893906362741782e-05
24.04809619238477,3.220795421293127,99.67792045787071,0.0023877837490442148,100,950,0.040008488731070324,9.888317942130542e-05
26.052104208416832,3.297767418583112,99.6702232581417,0.0025858911544453253,100,950,0.03703671804381192,9.88286179643698e-05
28.056112224448896,3.3692391809877638,99.66307608190124,0.0027838904342721493,100,950,0.03447221243087584,9.87751889976623e-05
30.06012024048096,3.4359325986667826,99.65640674013333,0.0029817836955181197,100,950,0.03223773115227213,9.872275077798544e-05
32.06412825651302,3.4984485242834436,99.65015514757168,0.0031795728021197863,100,950,0.0302789712188255,9.867119009276547e-05
34.06813627254509,3.5572912007462434,99.6442708799254,0.003377259407312771,100,950,0.02854773392517418,9.862040182061747e-05
36.07214428857715,3.612868299534643,99.63871317004654,0.0035748449537054273,100,950,0.02700314946476845,9.857029521369298e-05
38.07615230460922,3.665520256717259,99.63344797432829,0.003772330730814546,100,950,0.02561588996157871,9.8520802431553e-05
40.080160320641276,3.7155371971762414,99.62844628028239,0.0039697179093429145,100,950,0.02436229393701428,9.847186558867608e-05
42.08416833667334,3.7631647213946704,99.62368352786055,0.004167007546801223,100,950,0.023224825479132294,9.84234368830762e-05
44.0881763527054,3.8086226700384955,99.61913773299617,0.004364200622301136,100,950,0.022190630439186454,9.837547719364348e-05
46.09218436873747,3.8521051239565396,99.61478948760436,0.004561298036555304,100,950,0.021246854668428794,9.832794739926521e-05
48.09619238476954,3.893780404180495,99.61062195958196,0.00475830061187735,100,950,0.02038064401811257,9.828080837883052e-05
50.1002004008016,3.9337910719249267,99.60662089280751,0.00495520909218188,100,950,0.01958098418176546,9.82340260126187e-05
52.104208416833664,3.9722613027046045,99.60277386972956,0.005152024163030131,100,950,0.018841707482956216,9.818757964331947e-05
54.108216432865724,4.009308937588078,99.59906910624122,0.005348746485541878,100,950,0.01815605245766283,9.814144691842799e-05
56.11222444889779,4.045031052033914,99.59549689479663,0.00554537665568916,100,950,0.017517007983222976,9.809560399721951e-05
58.11623246492985,4.079517386418631,99.59204826135816,0.005741915239037748,100,950,0.01692105504260244,9.80500360836553e-05
60.12024048096192,4.112850911924103,99.5887149088076,0.005938362772256916,100,950,0.016364815807670352,9.800472875838269e-05
62.12424849699398,4.145107830537552,99.58548921694626,0.006134719763119443,100,950,0.015844912450297954,9.795966760205144e-05
64.12825651302605,4.17635757505155,99.58236424249486,0.006330986690501611,100,950,0.015357967142353823,9.791483819530803e-05
66.1322645290581,4.206662809064021,99.57933371909361,0.006527164004383203,100,950,0.0149006020557092,9.787022611880284e-05
68.13627254509018,4.2360794269782405,99.5763920573022,0.006723252125847514,100,950,0.014469439362233327,9.782581695318279e-05
70.14028056112224,4.2646565540028325,99.57353434459974,0.0069192514470813316,100,950,0.01406149072611651,9.778159775485334e-05
72.1442885771543,4.292438107243237,99.57075618927568,0.007115162337289811,100,950,0.013676148368338081,9.773756474164134e-05
74.14829659318636,4.319470775920019,99.56805292240801,0.007310985173500735,100,950,0.013311916615398323,9.76937108968757e-05
76.15230460921843,4.345792482455255,99.56542075175449,0.007506720296796327,100,950,0.012965827557301912,9.765002333444496e-05
78.1563126252505,4.371438020638664,99.56285619793614,0.007702368032556627,100,950,0.012636662892993256,9.760649549950089e-05
80.16032064128255,4.396440429922162,99.5603559570078,0.007897928695591921,100,950,0.012323547207908403,9.756312211773579e-05
82.16432865731463,4.420830995419859,99.55791690045803,0.008093402590142743,100,950,0.012025605087481406,9.751989791484091e-05
84.16833667334669,4.444639247908059,99.5555360752092,0.008288790009879862,100,950,0.011741961117147648,9.747681761650747e-05
86.17234468937875,4.4678929638252605,99.55321070361748,0.008484091237904296,100,950,0.011471739882342513,9.743387594842801e-05
88.1763527054108,4.490618165272157,99.5509381834728,0.008679306546747307,100,950,0.01121406596850072,9.739106763629202e-05
90.18036072144288,4.512839120011636,99.54871608799886,0.008874436198370396,100,950,0.010968063961056984,9.734838740579075e-05
92.18436873747494,4.534578341468779,99.54654216585314,0.009069480444165307,100,950,0.010732858445447135,9.730582998261801e-05
94.188376753507,4.555856588730863,99.54441434112692,0.009264439524954034,100,950,0.010507574007105891,9.726339009246418e-05
